,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
493068,2014-06-06 00:06:00,40.7394,-74.0072,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
588949,2014-06-20 00:06:00,40.7092,-74.0134,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
135431,2014-06-13 00:08:00,40.7388,-74.0386,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
588958,2014-06-20 00:09:00,40.7418,-74.0048,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
74284,2014-06-06 00:04:00,40.7719,-73.9902,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
542960,2014-06-13 00:45:00,40.7648,-73.9832,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
433686,2014-06-27 00:08:00,40.7545,-73.9768,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,2,0
493130,2014-06-06 00:27:00,40.7388,-74.0092,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
342269,2014-06-13 00:47:00,40.7507,-73.9743,B02617,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
386009,2014-06-20 00:23:00,40.7647,-73.9881,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
300790,2014-06-06 00:31:00,40.7434,-73.9728,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
386056,2014-06-20 00:47:00,40.7121,-73.9466,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,1,0
135452,2014-06-13 00:13:00,40.7405,-73.9869,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
135576,2014-06-13 00:58:00,40.7605,-73.978,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
135459,2014-06-13 00:15:00,40.7606,-73.9702,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
542966,2014-06-13 00:47:00,40.7151,-74.0101,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
193237,2014-06-20 00:47:00,40.7618,-73.9723,B02598,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
300733,2014-06-06 00:04:00,40.7716,-73.9894,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
385986,2014-06-20 00:08:00,40.7838,-73.9502,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
14112,2014-06-13 00:11:00,40.7616,-73.9773,B02512,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
588993,2014-06-20 00:26:00,40.7586,-73.9728,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
542964,2014-06-13 00:46:00,40.7498,-73.9957,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
589055,2014-06-20 00:53:00,40.5,-74.4511,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,3,0
493182,2014-06-06 00:51:00,40.7394,-74.0064,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
300781,2014-06-06 00:28:00,40.7073,-74.004,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
247170,2014-06-27 00:05:00,40.7335,-74.0079,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
135546,2014-06-13 00:44:00,40.6819,-73.9997,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
542974,2014-06-13 00:53:00,40.7406,-73.9983,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
135507,2014-06-13 00:30:00,40.7461,-73.948,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
135415,2014-06-13 00:04:00,40.7194,-73.9617,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
135404,2014-06-13 00:00:00,40.755,-73.9844,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
493127,2014-06-06 00:26:00,40.6694,-73.9506,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,1,0
74395,2014-06-06 00:44:00,40.7579,-73.9892,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
74348,2014-06-06 00:24:00,40.7421,-74.0058,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
14114,2014-06-13 00:15:00,40.7666,-73.9865,B02512,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
74376,2014-06-06 00:35:00,40.7726,-73.9671,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
542866,2014-06-13 00:08:00,40.7403,-73.9879,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
493102,2014-06-06 00:17:00,40.7528,-73.9713,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
342216,2014-06-13 00:23:00,40.67,-73.9394,B02617,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
193179,2014-06-20 00:26:00,40.7217,-73.9884,B02598,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
74331,2014-06-06 00:17:00,40.7405,-73.9759,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
658665,2014-06-13 00:27:00,40.7407,-74.0077,B02764,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
